education_level,specialization,skills,certifications,cgpa/percentage,recommended_career,cgpa/percentage_is_outlier,job_title_original,job_title_clean,career_family,education_category,education_encoded,skills_combined,skill_list,skill_count,skill_tokens,skill_tfidf_accounting,skill_tfidf_communication,skill_tfidf_counseling,skill_tfidf_data_analysis,skill_tfidf_financial_analysis,skill_tfidf_machine_learning,skill_tfidf_marketing,skill_tfidf_ms_office,skill_tfidf_python,skill_tfidf_sql
bachelors,Finance,"Counseling, MS Office, Machine Learning",Tally ERP,67,Business Analyst,0,Business Analyst,Business Analyst,Business And Finance,Bachelors,2,"counseling, ms office, machine learning","['counseling', 'ms office', 'machine learning']",3,counseling ms_office machine_learning,0.0,0.0,0.576003185595202,0.0,0.0,0.5841640138552924,0.0,0.5718152980645526,0.0,0.0
intermediate,Science,"Accounting, MS Office",AWS Certified,67,Software Engineer,0,Software Engineer,Software Engineer,Technology,Bachelors,2,"accounting, ms office","['accounting', 'ms office']",2,accounting ms_office,0.7060286613572762,0.0,0.0,0.0,0.0,0.0,0.0,0.7081832597160516,0.0,0.0
masters,Business,"Accounting, SQL, Data Analysis",Mental Health Basics,90,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Masters,3,"accounting, sql, data analysis","['accounting', 'sql', 'data analysis']",3,accounting sql data_analysis,0.5753620828922413,0.0,0.0,0.5766776582092905,0.0,0.0,0.0,0.0,0.0,0.5800011655955101
bachelors,Computer Science,Communication,Unknown,75,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,communication,['communication'],1,communication,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Business,Data Analysis,Tally ERP,83,Sales Assistant,0,Sales Assistant,Other,Business And Finance,High School,1,data analysis,['data analysis'],1,data_analysis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Arts,Counseling,Tally ERP,61,Professor,0,Professor,Professor,Education,High School,1,counseling,['counseling'],1,counseling,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Computer Science,"MS Office, Financial Analysis",Mental Health Basics,91,Clerk,0,Clerk,Other,Business And Finance,High School,1,"ms office, financial analysis","['ms office', 'financial analysis']",2,ms_office financial_analysis,0.0,0.0,0.0,0.0,0.7081885410201751,0.0,0.0,0.70602336389649,0.0,0.0
matric,Finance,Counseling,Digital Marketing,87,Marketing Executive,0,Marketing Executive,Marketing Specialist,Business And Finance,High School,1,counseling,['counseling'],1,counseling,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Business,"Financial Analysis, Python",CFA Level 1,78,Junior Accountant,0,Junior Accountant,Accountant,Business And Finance,Bachelors,2,"financial analysis, python","['financial analysis', 'python']",2,financial_analysis python,0.0,0.0,0.0,0.0,0.7116567661927048,0.0,0.0,0.0,0.7025273283881146,0.0
intermediate,Science,MS Office,CFA Level 1,75,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,ms office,['ms office'],1,ms_office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
