Pathway,Subject,Skills_Required,Competency_Type,Career,Industry_Sector
Business,Finance,"Marketing analysis, Decision making, Leadership",Self-Efficacy,Investment Analyst,Entrepreneurship
TVET,Fashion Design,"Entrepreneurship, Safety compliance, Maintenance",Learning to Learn,Fashion Designer,Construction
Social Sciences,Political Science,"Data interpretation, Ethical reasoning, Research",Critical Thinking & Problem Solving,Social Worker,Government
Business,Finance,"Marketing analysis, Decision making, Financial literacy",Communication & Collaboration,Investment Analyst,Corporate Sector
Social Sciences,Religious Studies,"Ethical reasoning, Communication, Policy analysis",Communication & Collaboration,Counselor,NGO Sector
Arts & Sports,Physical Education,"Coordination, Discipline, Public speaking",Communication & Collaboration,Sports Coach,Media
STEM,Biology,"Critical thinking, Problem solving, Data analysis",Learning to Learn,Environmental Analyst,Engineering
Business,Accounting,"Strategic planning, Leadership, Risk management",Self-Efficacy,Accountant,Finance
TVET,Electrical Installation,"Maintenance, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Fashion Designer,Hospitality
Social Sciences,Religious Studies,"Policy analysis, Ethical reasoning, Communication",Critical Thinking & Problem Solving,Policy Analyst,Government
Business,Finance,"Decision making, Financial literacy, Negotiation",Communication & Collaboration,Investment Analyst,Retail
TVET,Automotive Technology,"Technical skills, Customer service, Manual dexterity",Self-Efficacy,Electrician,Construction
Arts & Sports,Graphic Design,"Creativity, Public speaking, Discipline",Self-Efficacy,Musician,Entertainment
STEM,Statistics,"Experimentation, Critical thinking, Data analysis",Critical Thinking & Problem Solving,Laboratory Technologist,Healthcare
Social Sciences,Psychology,"Policy analysis, Research, Writing",Communication & Collaboration,Urban Planner,NGO Sector
Arts & Sports,Physical Education,"Creativity, Teamwork, Performance",Communication & Collaboration,Sports Coach,Creative Arts
STEM,Computer Science,"Analytical reasoning, Problem solving, Data analysis",Digital Literacy,Doctor,Healthcare
Business,Entrepreneurship,"Leadership, Risk management, Negotiation",Communication & Collaboration,Marketing Manager,Finance
